Regent Park/Trefann Court,19521,0.105,Bengali
Oakridge,21155,0.126,Bengali
Crescent Town,23021,0.181,Bengali
Leaside,82670,0.004,Bulgarian
The Beaches,67536,0.007,Cantonese
Upper Beaches,44346,0.007,Cantonese
Bridle Path,314107,0.12,Cantonese
Kensington Market,23335,0.143,Cantonese
Alexandra Park,19687,0.179,Cantonese
Agincourt,25750,0.193,Cantonese
Cliffside,32701,0.023,Cantonese
West Rouge,44605,0.028,Cantonese
Steeles,26660,0.237,Cantonese
Milliken,25243,0.266,Cantonese
East Danforth,33847,0.042,Cantonese
Riverdale,40139,0.067,Cantonese
Willowdale,39895,0.079,Cantonese
Bayview Village,46752,0.084,Cantonese
Bayview Woods Steeles,41485,0.093,Cantonese
Leslieville,30886,0.094,Cantonese
Cricket Club,104362,0.014,Filipino
Ledbury Park,83853,0.014,Filipino
Port Union,48117,0.016,Filipino
Rouge Hill,32858,0.024,Filipino
Maryvale,30944,0.041,Filipino
Clairlea,33392,0.043,Filipino
Wexford,28556,0.045,Filipino
Wilson Heights,37978,0.062,Filipino
Ionview,25078,0.065,Filipino
Lawrence Manor,36361,0.072,Filipino
St. James Town,22341,0.081,Filipino
Lawrence Park,214110,0.008,French
South Hill,120453,0.01,French
Moore Park,154825,0.011,French
Chaplin Estates,81288,0.012,French
Yorkville,105239,0.019,French
Bedford Park,80827,0.007,Greek
Old East York,33172,0.043,Greek
Bracondale Hill,41605,0.048,Greek
The Danforth,44979,0.074,Greek
Woburn,26190,0.091,Gujarati
Fort York/Liberty Village,46086,0.017,Hindi
Humberlea,30907,0.111,Italian
Downsview,26751,0.117,Italian
Maple Leaf,27611,0.13,Italian
Lawrence Heights,29867,0.15,Italian
Humber Summit,26117,0.151,Italian
The Queensway,38944,0.041,Italian
Richview,34579,0.042,Italian
York University Heights,24432,0.066,Italian
Pelmo Park,32002,0.067,Italian
Glen Park,35022,0.093,Italian
Financial District,63952,0.018,Japanese
Casa Loma,82203,0.018,Korean
Princess Gardens,80607,0.024,Korean
York Mills,92099,0.04,Korean
Islington Six Points,43570,0.049,Korean
Port Lands,36243,0.035,Mandarin
Henry Farm,56395,0.039,Mandarin
Bay Street Corridor,40598,0.096,Mandarin
Toronto Islands,43344,0,French
Guildwood,40806,0.012,Persian
Davisville,55735,0.015,Persian
Graydon Hall,23350,0.118,Persian
Lansing,46631,0.047,Persian
Centennial,34867,0.027,Polish
Parkdale,26314,0.029,Polish
High Park North,46437,0.03,Polish
Swansea,58681,0.03,Polish
Markland Wood,51695,0.034,Polish
Mimico,47011,0.036,Polish
Roncesvalles,46820,0.044,Polish
Long Branch,37288,0.045,Polish
New Toronto,33415,0.046,Polish
Sunnylea,51398,0.052,Polish
Alderwood,35239,0.062,Polish
Fashion District,63282,0.011,Portuguese
Fairbank,28403,0.113,Portuguese
Silverthorn,26291,0.118,Portuguese
Christie Pits,30556,0.119,Portuguese
Junction Triangle,28067,0.13,Portuguese
Dovercourt Park,28311,0.131,Portuguese
Trinity Bellwoods,31106,0.136,Portuguese
Dufferin Grove,27961,0.152,Portuguese
Carleton Village,23301,0.17,Portuguese
Davenport,28335,0.171,Portuguese
Little Italy,31231,0.174,Portuguese
Earlscourt,26672,0.189,Portuguese
Harwood,22136,0.19,Portuguese
Wallace Emerson,25029,0.192,Portuguese
Brockton,27260,0.199,Portuguese
Wychwood,53613,0.027,Portuguese
Little Portugal,29224,0.238,Portuguese
Eringate,34789,0.034,Portuguese
Lambton,30920,0.039,Portuguese
Niagara,44611,0.04,Portuguese
Harbord Village,45792,0.041,Portuguese
The Junction,34906,0.041,Portuguese
Seaton Village,41506,0.05,Portuguese
Smithfield,24387,0.118,Punjabi
Humberwood,29576,0.267,Punjabi
Thistletown,28955,0.086,Punjabi
Deer Park,80704,0.011,Russian
Allenby,245592,0.014,Russian
Forest Hill,101631,0.024,Russian
Branson,27156,0.241,Russian
Westminster,27826,0.314,Russian
Newtonbrook,33428,0.088,Russian
Armour Heights,116651,0.094,Russian
Bathurst Manor,34169,0.095,Russian
Lytton Park,127356,0.009,Serbian
Eatonville,36206,0.032,Serbian
Kingsview Village,32004,0.07,Somali
The Annex,63636,0.013,Spanish
Church and Wellesley,37653,0.018,Spanish
Corktown,54681,0.021,Spanish
Humber Heights,39738,0.041,Spanish
Amesbury,27546,0.061,Spanish
The Elms,28014,0.061,Spanish
Weston,27446,0.07,Spanish
Mount Dennis,23910,0.073,Spanish
Caribou Park,103703,0.029,Tagalog
Cliffcrest,38182,0.015,Tamil
Scarborough City Centre,26756,0.103,Tamil
Morningside,27139,0.108,Tamil
Scarborough Village,24413,0.114,Tamil
Malvern,25677,0.122,Tamil
Rouge,29230,0.156,Tamil
West Hill,27936,0.03,Tamil
Bendale,29723,0.037,Tamil
Scarborough Junction,25405,0.042,Tamil
Highland Creek,33640,0.051,Tamil
Dorset Park,26525,0.095,Tamil
Eglinton East,25307,0.097,Tamil
The Kingsway,110944,0.018,Ukrainian
Westmount,35183,0.106,Ukrainian
Runnymede,42635,0.022,Ukrainian
West Deane Park,41582,0.023,Ukrainian
Bloor West Village,55578,0.036,Ukrainian
Humber Valley Village,80618,0.039,Ukrainian
Old Mill/Baby Point,110372,0.041,Ukrainian
Birch Cliff,48965,0.009,Unspecified Chinese
Rosedale,213941,0.01,Unspecified Chinese
Summerhill,88937,0.011,Unspecified Chinese
Cabbagetown,50398,0.016,Unspecified Chinese
North York City Centre,34330,0.101,Unspecified Chinese
Tam O'Shanter Sullivan,27717,0.126,Unspecified Chinese
Pleasant View,29250,0.127,Unspecified Chinese
Hillcrest,33465,0.139,Unspecified Chinese
L'Amoreaux,26375,0.139,Unspecified Chinese
Grange Park,35277,0.148,Unspecified Chinese
Harbourfront/ CityPlace,69232,0.024,Unspecified Chinese
Hoggs Hollow,222560,0.024,Unspecified Chinese
Garden District,37614,0.03,Unspecified Chinese
Parkwoods,34811,0.034,Unspecified Chinese
Don Mills,47515,0.039,Unspecified Chinese
Banbury,92319,0.051,Unspecified Chinese
Discovery District,41998,0.065,Unspecified Chinese
Parkway Forest,24333,0.085,Unspecified Chinese
Don Valley Village,30442,0.097,Unspecified Chinese
Thorncliffe Park,25340,0.215,Urdu
O'Connor Parkview,33517,0.032,Urdu
Victoria Village,29657,0.032,Urdu
Flemingdon Park,23471,0.063,Urdu
Elia (Jane and Finch),22691,0.069,Vietnamese
